user_id,auth_date
244172,2020-03-12
829970,2020-04-05
53688,2018-10-31
54451,2015-10-13
103815,2020-03-19
84753,2019-05-18
55676,2018-03-19
653020,2019-11-10
276470,2018-06-04
641211,2019-12-29
858564,2020-04-20
162866,2020-03-10
30550,2017-03-30
299820,2019-04-10
381244,2020-06-19
338584,2020-04-04
322024,2019-08-09
42442,2015-04-19
107324,2019-09-02
643041,2020-04-17
517268,2019-07-16
550093,2020-04-02
100171,2017-05-09
15617,2015-03-27
890864,2020-08-20
121462,2019-10-27
7832,2018-01-23
18186,2015-12-04
495785,2019-09-21
489814,2019-06-08
86234,2020-02-27
370240,2019-07-28
107535,2018-07-20
203943,2019-06-01
52841,2016-09-09
61538,2016-09-12
147086,2017-06-08
412959,2020-05-07
280172,2020-07-27
51482,2020-09-04
168710,2017-08-24
20390,2016-11-10
98612,2018-03-06
279264,2019-12-20
579964,2020-01-16
29622,2016-09-16
686128,2019-12-05
242030,2018-09-03
344649,2019-09-06
441891,2019-06-10
49114,2018-10-05
88740,2018-04-14
91312,2019-08-06
48601,2015-10-18
410086,2019-03-26
13109,2018-02-16
245489,2020-03-23
194675,2020-05-23
503342,2019-10-30
12900,2020-01-24
845215,2020-05-29
450960,2019-03-25
436793,2019-11-26
561699,2019-08-23
12842,2017-10-31
1033679,2020-09-08
108377,2018-09-03
658476,2019-11-10
562908,2020-09-21
222900,2020-07-08
370286,2019-03-24
581605,2019-10-22
340872,2019-02-25
419438,2019-02-18
731275,2020-01-16
377280,2018-12-07
711424,2020-06-04
780905,2020-03-05
89214,2018-06-29
285950,2020-01-08
198180,2018-03-12
836368,2020-05-04
111390,2016-11-30
435486,2019-03-14
287459,2018-12-03
20956,2019-03-14
357123,2018-11-18
153814,2019-02-25
568859,2020-07-14
67233,2017-05-24
40176,2016-09-06
124245,2017-03-01
729921,2020-01-12
238587,2019-05-11
526224,2019-06-27
20635,2014-10-19
251223,2018-07-10
120195,2020-02-24
21187,2014-05-23
541311,2019-08-30
19994,2020-06-26
267015,2019-12-05
86631,2020-06-01
24088,2019-02-24
582761,2019-09-13
710,2009-11-24
50213,2016-09-03
489381,2019-11-10
838036,2020-04-11
198347,2018-09-05
20956,2018-11-18
11173,2015-03-27
268036,2018-06-08
142922,2019-05-16
311015,2020-05-11
19026,2015-09-14
1100781,2020-09-18
465283,2019-05-13
99769,2019-11-10
497997,2020-04-21
103107,2018-06-20
730264,2020-01-12
144465,2017-10-22
303739,2019-09-02
1037872,2020-08-13
112568,2019-06-26
45210,2020-05-20
634094,2019-10-19
104295,2016-10-15
148215,2018-06-29
150368,2018-06-28
73808,2017-09-15
110080,2019-12-25
769105,2020-02-13
193574,2017-11-01
719701,2020-01-05
381277,2019-10-27
137825,2018-06-14
317008,2020-07-28
94160,2019-09-09
273013,2018-06-20
769901,2020-04-16
20653,2016-05-02
627625,2020-02-24
278416,2020-07-07
111668,2019-08-24
846626,2020-05-03
35168,2019-01-12
39853,2015-07-23
1094194,2020-09-14
296356,2018-10-16
151592,2020-01-13
205559,2020-06-06
564168,2019-12-01
732436,2020-02-04
620062,2020-01-16
14546,2017-07-16
713136,2020-06-22
640274,2019-11-19
162692,2019-07-23
52784,2018-12-22
292024,2019-11-07
73403,2016-09-21
403509,2020-07-22
315740,2018-09-11
317987,2019-08-10
307227,2019-11-07
882923,2020-05-07
356727,2020-05-24
113803,2020-01-29
160081,2017-10-30
386872,2019-10-09
203213,2019-08-15
232423,2020-07-28
902753,2020-05-20
78621,2019-06-24
747493,2020-02-07
680360,2019-11-30
25271,2017-06-23
667445,2020-02-10
59574,2015-12-01
104214,2017-01-22
742213,2020-04-28
315414,2019-12-06
435513,2019-04-27
139073,2017-04-14
39418,2016-07-27
8192,2016-06-07
11733,2019-12-11
420510,2020-07-26
21307,2014-05-10
237291,2018-10-11
822989,2020-04-11
324273,2020-05-26
752751,2020-01-31
308211,2018-09-25
491645,2020-03-05
6364,2015-04-17
394053,2019-06-21
268641,2018-07-17
1674,2012-11-16
